Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26772;Appartement;19;RUE;CHAPON;0;1771;75107
26773;Appartement;26;RUE;DU MONT THABOR;0;6537;75107
26774;Appartement;32;RUE;DU MONT THABOR;0;6537;75107
26775;Appartement;245;RUE;SAINT MARTIN;0;8694;75106
26776;Appartement;34;RUE;DE MONTMORENCY;0;6517;75107
26777;Appartement;16;RUE;DE VEZELAY;0;9723;75107
26778;Appartement;25;RUE;TRONCHET;0;9470;75107
26779;Appartement;74;RUE;DU FAUBOURG SAINT HONORE;0;3518;75107
26780;Appartement;63;RUE;NOTRE DAME DE NAZARETH;0;6834;75107
26781;Appartement;27;RUE;DE RICHELIEU;0;8212;75107
26782;Appartement;89;BD;BEAUMARCHAIS;15;783;75105
26783;Appartement;15;RUE;DE BEARN;0;756;75106
26784;Appartement;44;RUE;BEAUBOURG;0;759;75105
26785;Appartement;41;RUE;D AMSTERDAM;0;300;75106
26786;Appartement;2;RUE;TRONCHET;0;9470;75107
26787;Appartement;36;RUE;DE SEVIGNE;0;8953;75107
26788;Appartement;62;RUE;MONSIEUR LE PRINCE;0;6444;75105
26789;Appartement;36;RUE;DE BUCI;0;1360;75105
26790;Appartement;62;RUE;SAINT PLACIDE;0;8735;75106
26791;Appartement;10;RUE;DES CANETTES;0;1486;75105
26792;Appartement;8;RUE;JOSEPH BARA;0;5004;75107
26793;Appartement;1;RUE;SEGUIER;0;8907;75105
26794;Appartement;1;RUE;HUYSMANS;0;4686;75106
26795;Appartement;137;RUE;DE GRENELLE;0;4314;75105
26796;Appartement;5;RUE;SEGUIER;0;8907;75105
26797;Appartement;19;RUE;BONAPARTE;0;1087;75107
26798;Appartement;30;RUE;DES BOULANGERS;0;1156;75106
26799;Appartement;150;RUE;DE RENNES;0;8151;75106
26800;Appartement;23;RUE;PASCAL;0;7076;75107
26801;Appartement;66;RUE;DE RENNES;0;8151;75105
26802;Appartement;9;RUE;ALBERT DE LAPPARENT;0;118;75106
26803;Appartement;70;BD;SAINT MICHEL;15;8705;75105
26804;Appartement;9;RUE;AMELIE;0;268;75105
26805;Appartement;34;RUE;DU FER A MOULIN;0;3573;75107
26806;Appartement;164;RUE;DE L UNIVERSITE;0;9527;75106
26807;Appartement;9;RUE;LARREY;0;5362;75105
26808;Appartement;45;RUE;BONAPARTE;0;1087;75105
26809;Appartement;32;RUE;DAUPHINE;0;2595;75107
26810;Appartement;27;RUE;DES SAINTS PERES;0;8767;75105
26811;Appartement;34;RUE;CLER;0;2106;75105
26812;Appartement;22;BD;SAINT MARCEL;15;8690;75106
26813;Appartement;115;RUE;NOTRE DAME DES CHAMPS;0;6838;75105
26814;Appartement;24;RUE;ROUSSELET;0;8400;75107
26815;Appartement;38;AV;DUQUESNE;1;3023;75106
26816;Appartement;9;RUE;AUGEREAU;0;535;75106
26817;Appartement;190;RUE;DE GRENELLE;0;4314;75106
26818;Appartement;22;BD;SAINT MICHEL;15;8705;75107
26819;Appartement;25;RUE;DAUPHINE;0;2595;75105
26820;Appartement;155;RUE;DE GRENELLE;0;4314;75105
26821;Appartement;2;RUE;MALAR;0;5945;75105
26822;Appartement;5;RUE;GUY DE LA BROSSE;0;4434;75105
26823;Appartement;38;RUE;DU DRAGON;0;2925;75105
26824;Appartement;7;RUE;COGNACQ JAY;0;2177;75106
26825;Appartement;9;RUE;DE FLEURUS;0;3673;75107
26826;Appartement;23;QUAI;ANATOLE FRANCE;24;307;75107
26827;Appartement;11;RUE;PRINCESSE;0;7837;75105
26828;Appartement;1;SQ;SAINT ROMAIN;51;8743;75106
26829;Appartement;4;RUE;FEROU;0;3619;75107
26830;Appartement;134;RUE;D ASSAS;0;499;75105
26831;Appartement;25;RUE;JUSSIEU;0;5130;75107
26832;Appartement;34;RUE;DE LA MONTGN STE GENEVIEVE;0;6448;75105
26833;Appartement;24;RUE;DE BUCI;0;1360;75106
26834;Appartement;3;RUE;JACOB;0;4771;75106
26835;Appartement;24;RUE;DE MONTTESSUY;0;6535;75105
26836;Appartement;11;RUE;BREA;0;1263;75107
26837;Appartement;56;RUE;DE RENNES;0;8151;75105
26838;Appartement;169;RUE;DE RENNES;0;8151;75105
26839;Appartement;52;RUE;LHOMOND;0;5648;75107
26840;Appartement;3;PAS;DE L UNION;35;9524;75107
26841;Appartement;27;RUE;DES BOULANGERS;0;1156;75106
26842;Appartement;67;AV;DE LA BOURDONNAIS;1;5202;75107
26843;Appartement;62;RUE;MOUFFETARD;0;6581;75106
26844;Appartement;23;RUE;DE LA COLLEGIALE;0;2187;75105
26845;Appartement;11;RUE;OUDINOT;0;6971;75106
26846;Appartement;7;RUE;ROYER COLLARD;0;8421;75105
26847;Appartement;3;RUE;MALAR;0;5945;75105
26848;Appartement;23;RUE;VISCONTI;0;9880;75107
26849;Appartement;6;RUE;DE SOLFERINO;0;9013;75106
26850;Appartement;28;RUE;DES FOSSES ST BERNARD;0;3747;75106
26851;Appartement;86;RUE;DU CHERCHE MIDI;0;1978;75107
26852;Appartement;42;RUE;DU CHERCHE MIDI;0;1978;75107
26853;Appartement;32;RUE;DE LA MONTGN STE GENEVIEVE;0;6448;75106
26854;Appartement;14;RUE;JOSE MARIA DE HEREDIA;0;5002;75105
26855;Appartement;12;RUE;DU VAL DE GRACE;0;9544;75105
26856;Appartement;68;RUE;DU BAC;0;620;75107
26857;Appartement;16;AV;DE LA MOTTE PICQUET;1;5308;75106
26858;Appartement;70;RUE;CLAUDE BERNARD;0;2069;75105
26859;Appartement;5;RUE;VALADON;0;9542;75106
26860;Appartement;9;AV;FRANCO RUSSE;1;3818;75107
26861;Appartement;15;RUE;DE LILLE;0;5686;75107
26862;Appartement;6;RUE;DE MEZIERES;0;6315;75107
26863;Appartement;22;AV;DUQUESNE;1;3023;75105
26864;Appartement;2;SQ;DE LA TOUR MAUBOURG;51;5384;75106
26865;Appartement;15;RUE;AUGEREAU;0;535;75106
26866;Appartement;16;RUE;COGNACQ JAY;0;2177;75106
26867;Appartement;26;RUE;DE GRENELLE;0;4314;75107
26868;Appartement;4;RUE;RECAMIER;0;8079;75107
26869;Appartement;36;RUE;DE LA MONTGN STE GENEVIEVE;0;6448;75105
26870;Appartement;81;RUE;MADAME;0;5886;75107
26871;Appartement;74;RUE;DU CARDINAL LEMOINE;0;1545;75107
26872;Appartement;45;RUE;DAUPHINE;0;2595;75106
26873;Appartement;40;RUE;DE L UNIVERSITE;0;9527;75105
26874;Appartement;25;RUE;DE BOURGOGNE;0;1202;75107
26875;Appartement;51;QUAI;DE LA TOURNELLE;24;9380;75106
26876;Appartement;70;RUE;MOUFFETARD;0;6581;75105
26877;Appartement;130;RUE;D ASSAS;0;499;75107
26878;Appartement;5;RUE;DE LA CLEF;0;2094;75106
26879;Appartement;104;RUE;DU BAC;0;620;75107
26880;Appartement;175;RUE;SAINT JACQUES;0;8648;75105
